"name","bio","birth_date","death_date","institution","awards","known_for","fields","page_title","image_url"
"Stephen William Hawking","Stephen William Hawking (8 January 1942 – 14 March 2018) was an English theoretical physicist, cosmologist, and author who was director of research at the Centre for Theoretical Cosmology at the University of Cambridge. Between 1979 and 2009, he was the Lucasian Professor of Mathematics at Cambridge, widely viewed as one of the most prestigious academic posts in the world.","8 January 1942 in England","14 March 2018 (aged 76)Cambridge, England",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}University College, Oxford (BA)Trinity Hall, Cambridge (PhD)","Adams Prize (1966); Eddington Medal (1975); Maxwell Medal and Prize (1976); Heineman Prize (1976); Hughes Medal (1976); Albert Einstein Award (1978); Albert Einstein Medal (1979); RAS Gold Medal (1985); Dirac Medal (IOP) (1987); Wolf Prize (1988); Prince of Asturias Award (1989); Foreign Associate of the National Academy of Sciences (1992); Andrew Gemant Award (1998); Naylor Prize and Lectureship (1999); Lilienfeld Prize (1999); Albert Medal (1999); Copley Medal (2006); Presidential Medal of Freedom (2009); Breakthrough Prize in Fundamental Physics (2012); BBVA Foundation Frontiers of Knowledge Award (2015)","Hawking radiation; A Brief History of Time; A Briefer History of Time; Penrose–Hawking theorems; Black hole information paradox; Micro black hole; Primordial black hole; Chronology protection conjecture; Soft hair (No hair theorem); Bekenstein–Hawking formula; Hawking energy; Hawking–Page phase transition; Gibbons–Hawking ansatz; Gibbons–Hawking effect; Gibbons–Hawking space; Gibbons–Hawking–York boundary term; Hartle–Hawking state; Thorne–Hawking–Preskill bet","General relativity; quantum gravity","Stephen William Hawking","https://upload.wikimedia.org/wikipedia/commons/e/eb/Stephen_Hawking.StarChild.jpg"
"Richard Phillips Feynman","Richard Phillips Feynman (/ˈfaɪnmən/; May 11, 1918 – February 15, 1988) was an American theoretical physicist. He is best known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, the physics of the superfluidity of supercooled liquid helium, and in particle physics, for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman received the Nobel Prize in Physics in 1965 jointly with Julian Schwinger and Shin'ichirō Tomonaga.","Richard Phillips FeynmanMay 11, 1918New York City, U.S.","February 15, 1988 (aged 69)Los Angeles, California, U.S.",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Massachusetts Institute of Technology (SB) Princeton University (PhD)","Albert Einstein Award (1954); E. O. Lawrence Award (1962); Nobel Prize in Physics (1965); Foreign Member of the Royal Society (1965); Oersted Medal (1972); National Medal of Science (1979)","Manhattan ProjectAcoustic wave equationBethe–Feynman formulaFeynman checkerboardFeynman diagramsFeynman gaugeFeynman–Kac formulaFeynman parametrizationFeynman pointFeynman propagatorFeynman slash notationFeynman sprinklerHellmann–Feynman theoremHeaviside-Feynman formulaV−A theoryBrownian ratchetFeynman–Stueckelberg interpretationNanotechnologyOne-electron universePartonPath integral formulationPlaying the bongosQuantum cellular automataQuantum computingQuantum dissipationQuantum electrodynamicsQuantum hydrodynamicsQuantum logic gatesQuantum turbulenceResummationRogers CommissionShaft passerSticky bead argumentSynthetic molecular motorThe Feynman Lectures on PhysicsUniversal quantum simulatorVortex ring modelWheeler–Feynman absorber theoryVariational perturbation theory; Manhattan Project; Acoustic wave equation; Bethe–Feynman formula; Feynman checkerboard; Feynman diagrams; Feynman gauge; Feynman–Kac formula; Feynman parametrization; Feynman point; Feynman propagator; Feynman slash notation; Feynman sprinkler; Hellmann–Feynman theorem; Heaviside-Feynman formula; V−A theory; Brownian ratchet; Feynman–Stueckelberg interpretation; Nanotechnology; One-electron universe; Parton; Path integral formulation; Playing the bongos; Quantum cellular automata; Quantum computing; Quantum dissipation; Quantum electrodynamics; Quantum hydrodynamics; Quantum logic gates; Quantum turbulence; Resummation; Rogers Commission; Shaft passer; Sticky bead argument; Synthetic molecular motor; The Feynman Lectures on Physics; Universal quantum simulator; Vortex ring model; Wheeler–Feynman absorber theory; Variational perturbation theory","Theoretical physics","Richard Phillips Feynman","https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Richard_Feynman_Nobel.jpg/250px-Richard_Feynman_Nobel.jpg"
"Albert Einstein","Albert Einstein (14 March 1879 – 18 April 1955) was a German-born theoretical physicist who is best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for .mw-parser-output .inline-quote{quotes:none}.mw-parser-output .inline-quote-italic{font-family:inherit;font-style:italic}.mw-parser-output .inline-quote-marks{quotes:""\""""""\""""}his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect.","14 March 1879 in Württemberg, Germany","18 April 1955 (aged 76)Princeton, New Jersey, U.S.","Swiss federal polytechnic school (teaching diploma, 1900) University of Zurich (PhD, 1905)","Barnard Medal for Meritorious Service to Science (1920) Nobel Prize in Physics (1921) Matteucci Medal (1921) ForMemRS (1921) Copley Medal (1925) Gold Medal of RAS (1926) Max Planck Medal (1929) Membership of NAS (1942) Time Person of the Century (1999); Barnard Medal for Meritorious Service to Science (1920); Nobel Prize in Physics (1921); Matteucci Medal (1921); ForMemRS (1921); Copley Medal (1925); Gold Medal of RAS (1926); Max Planck Medal (1929); Membership of NAS (1942); Time Person of the Century (1999)","General relativity; Special relativity; Photoelectric effect; E=mc2 (mass–energy equivalence); E=hf (Planck–Einstein relation); Theory of Brownian motion; Einstein field equations; Bose–Einstein statistics; Bose–Einstein condensate; Gravitational wave; Cosmological constant; Unified field theory; EPR paradox; Ensemble interpretation; List of other concepts","Physics","Albert Einstein","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Albert_Einstein_1947.jpg/250px-Albert_Einstein_1947.jpg"
"Murray Gell‐ Mann",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brian Randolph Greene","Brian Randolph Greene (born February 9, 1963) is an American physicist known for his research on string theory. He is a professor of physics and mathematics at Columbia University, director of its center for theoretical physics, and the chairman of the World Science Festival, which he co-founded in 2008. Greene co-discovered mirror symmetry, relating two different Calabi–Yau manifolds. He also described the flop transition, a mild form of topology change, and the conifold transition, a more severe transformation of space, showing that topology can smoothly change in string theory.","Brian Randolph Greene  February 9, 1963 (age 62)New York City, U.S.",NA,"Harvard University (BS)Magdalen College, Oxford (PhD)","Andrew Gemant Award (2003)","String theoryThe Elegant UniverseThe Fabric of the CosmosThe Hidden Reality","Physics","Brian Randolph Greene","https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Brian_Greene%2C_February_28%2C_2012.jpg/250px-Brian_Greene%2C_February_28%2C_2012.jpg"
"Lisa Randall","Lisa Randall HonFInstP (born June 18, 1962) is an American theoretical physicist and Frank B. Baird, Jr. Professor of Science at Harvard University. Her research includes the fundamental forces of nature and dimensions of space. She studies the Standard Model, supersymmetry, possible solutions to the hierarchy problem concerning the relative weakness of gravity, cosmology of dimensions, baryogenesis, cosmological inflation, and dark matter. She contributed to the Randall–Sundrum model, first published in 1999 with Raman Sundrum.","June 18, 1962 (age 63)Queens, New York City, U.S.",NA,"Harvard University (BA, PhD)","Klopsteg Memorial Award (2006)Lilienfeld Prize (2007)Andrew Gemant Award (2012)Sakurai Prize (2019)Oskar Klein Medal (2019)","Randall–Sundrum model Warped Passages (2005)","Physics","Lisa Randall","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Lisa_randall_by_christopher_michel_02.jpg/250px-Lisa_randall_by_christopher_michel_02.jpg"
"Edward H Witten","Edward Witten (born August 26, 1951) is an American theoretical physicist known for his contributions to string theory, topological quantum field theory, and various areas of mathematics. He is a professor emeritus in the school of natural sciences at the Institute for Advanced Study in Princeton. Witten is a researcher in string theory, quantum gravity, supersymmetric quantum field theories, and other areas of mathematical physics. Witten's work has also significantly impacted pure mathematics. In 1990, he became the first physicist to be awarded a Fields Medal by the International Mathematical Union, for his mathematical insights in physics, such as his 1981 proof of the positive energy theorem in general relativity, and his interpretation of the Jones invariants of knots as Feynman integrals. He is considered the practical founder of M-theory.","August 26, 1951 (age 74)Baltimore, Maryland, U.S.",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Brandeis University (BA) Princeton University (MA, PhD)","MacArthur Fellowship (1982); Albert Einstein Medal (1985); ICTP Dirac Medal (1985); Alan T. Waterman Award (1986); Fields Medal (1990); Dannie Heineman Prize (1998); Nemmers Prize (2000); National Medal of Science (2002); Harvey Prize (2005); Henri Poincaré Prize (2006); Crafoord Prize (2008); Lorentz Medal (2010); Isaac Newton Medal (2010); Breakthrough Prize in; Fundamental Physics (2012); Kyoto Prize (2014); Albert Einstein Award (2016)","M-theory; Seiberg–Witten theory; Seiberg–Witten invariants; Seiberg–Witten moduli space; Seiberg–Witten flow; Seiberg–Witten map; Wess–Zumino–Witten model; Weinberg–Witten theorem; Gromov–Witten invariant; Hořava–Witten domain wall; Vafa–Witten theorem; Witten index; BCFW recursion; Topological quantum field theory (Witten-type TQFTs); Topological string theory; CSW rules; Witten conjecture; Witten zeta function; Hanany–Witten transition; Twistor string theory; Chern–Simons theory; Positive energy theorem; Witten–Veneziano mechanism; Bubble of nothing","Theoretical physics; Mathematical physics; Superstring theory","Edward Witten","https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Edward_Witten.jpg/250px-Edward_Witten.jpg"
"Sean Michael Carroll","Sean Michael Carroll (born October 5, 1966) is an American theoretical physicist who specializes in quantum mechanics, cosmology, and the philosophy of science. He is the Homewood Professor of Natural Philosophy at Johns Hopkins University. He was formerly a research professor at the Walter Burke Institute for Theoretical Physics at the California Institute of Technology (Caltech) department of physics. He also is currently an external professor at the Santa Fe Institute, and he has been a contributor to the physics blog Cosmic Variance, where he has published in scientific journals such as Nature as well as other publications, including The New York Times, Sky & Telescope, and New Scientist. He is known for his atheism, his vocal critique of theism and defence of naturalism. He is considered a prolific public speaker and science popularizer. In 2007, Carroll was named NSF Distinguished Lecturer by the National Science Foundation.","Sean Michael Carroll  October 5, 1966 (age 58)Philadelphia, Pennsylvania, U.S.",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Villanova University (BS)Harvard University (PhD)","Andrew Gemant Award (2014)Guggenheim Fellowship (2015)","Dark electromagnetismf(R) gravitypoetic naturalism","Physics; cosmology astrophysics; general relativity","Sean Michael Carroll","https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Sean_Carroll_2017.jpg/250px-Sean_Carroll_2017.jpg"
"Frank A Wilczek","Frank Anthony Wilczek (/ˈvɪltʃɛk/ or /ˈwɪltʃɛk/; born May 15, 1951) is an American theoretical physicist, mathematician and Nobel laureate. He is the Herman Feshbach Professor of Physics at the Massachusetts Institute of Technology (MIT), Founding Director of T. D. Lee Institute and Chief Scientist at the Wilczek Quantum Center, Shanghai Jiao Tong University (SJTU), distinguished professor at Arizona State University (ASU) during February and March and full professor at Stockholm University.","Frank Anthony Wilczek  May 15, 1951 (age 74)Mineola, New York, U.S.",NA,"University of Chicago (BS)Princeton University (MA, PhD)","MacArthur Fellowship (1982)Sakurai Prize (1986)ICTP Dirac Medal (1994)Lorentz Medal (2002)Lilienfeld Prize (2003)Nobel Prize in Physics (2004)King Faisal Prize (2005)Templeton Prize (2022)","Asymptotic freedomQuantum chromodynamicsParticle statisticsAxion modelTime crystal","PhysicsMathematics","Frank Wilczek","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/FrankStockholm2004.jpg/250px-FrankStockholm2004.jpg"
"Steven Weinberg","Steven Weinberg (/ˈwaɪnbɜːrɡ/; May 3, 1933 – July 23, 2021) was an American theoretical physicist and Nobel laureate in physics for his contributions with Abdus Salam and Sheldon Glashow to the unification of the weak force and electromagnetic interaction between elementary particles.","May 3, 1933New York City, U.S.","July 23, 2021 (aged 88)Austin, Texas, U.S.",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Cornell University (BA) Princeton University (PhD)","Heineman Prize (1977); Elliott Cresson Medal (1979); Nobel Prize in Physics (1979); ForMemRS (1981); National Medal of Science (1991); Andrew Gemant Award (1997); Breakthrough Prize (2020)","Electroweak interaction; Weinberg angle; Weinberg–Witten theorem; Joos–Weinberg equation; Asymptotic safety; Axion model; Effective action; Minimal subtraction scheme; Soft graviton theorem; Technicolor; Unitarity gauge","Theoretical physics","Steven Weinberg","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Steven_weinberg_2010.jpg/250px-Steven_weinberg_2010.jpg"
