"","id","id_author_oa","display_name","orcid.x","alternative_names","longest_name","last_name","first_name","ethnicity","gender","nobel_prize_likelihood","orcid.y","aps_works_count","aps_cited_by_count","aps_h_index","aps_i10_index","aps_e_index","aps_years_of_activity","aps_career_age","aps_citations_per_paper_age","career_age","citations_per_paper_age","cited_by_count","e_index","h_index","i10_index","max_year","min_year","two_year_mean_citedness","works_count","rr1_rank_publications","rr1_rank_publications_percentile","rr2_rank_citations","rr2_rank_citations_percentile","rr3_rank_h_index","rr3_rank_h_index_percentile","rr4_rank_i10_index","rr4_rank_i10_index_percentile","rr5_rank_e_index","rr5_rank_e_index_percentile","rr6_rank_citation_publication_age","rr6_rank_citation_publication_age_percentile","rr7_rank_mean_citedness_2yr","rr7_rank_mean_citedness_2yr_percentile"
"1",5015070406,5015070406,"W. Kohn","","['Walter Kohn', 'W. W. Kohn', 'W. Kohn']","Walter Kohn","Kohn","Walter","Unknown","Male",0.714285714285714,"",121,23019,45,88,500.666169821732,"[1947.0, 2009.0]",63,3.01967729240457,63,8.95769278840145,143341,502.006930516981,74,149,2009,1947,0,254,42099,91.2480353920484,108,99.9777552327177,6895,98.5667717229508,22221,95.3805726260468,11,99.9979210497867,183037,61.9477268758368,215401,55.2194124055117
"2",5074066171,5074066171,"Ivar Giæver","","['I. Giaever', 'Ivar Giæver', 'Ivar Giaever']","Ivar Giaever","Giaever","Ivar","White","Male",0.857142857142857,"",13,677,13,13,117.690883711316,"[1960.0, 1974.0]",15,3.47179487179487,15,5.47313432835821,11001,118.66083738688,46,74,1974,1960,0,134,94354,80.3844810524478,24487,94.9094825077129,25130,94.7758060089977,56800,88.1917706834757,2820,99.4139439348707,241079,49.8810840477992,215401,55.2194124055117
"3",5057538064,5057538064,"Gregory A. Fiete","0000-0001-9477-0804","['G. A. Fiete', 'Gregory Alan Fiete', 'Gregory Fiete', 'Gregory A. Fiete']","Gregory Alan Fiete","Fiete","Gregory","Asian","Male",NA,"0000-0001-9477-0804",97,1867,21,58,85.4895205656278,"[2001.0, 2020.0]",20,0.962371134020618,20,1.166796875,5974,85.7780187396025,45,107,2020,2001,3.87878787878788,256,41570,91.358011858332,48425,89.9328914871147,26533,94.4841292940717,35885,92.5398950545932,6805,98.5854822748705,396074,17.6583952167514,67588,85.9489991933673
"4",5006656464,5006656464,"Carl Wieman","0000-0003-1449-9319","['C. E. Wieman', 'Carl E. Wieman', 'Carl Edwin Wieman', 'Carl Wieman', 'C. Wieman', 'C E. Wieman']","Carl Edwin Wieman","Wieman","Carl","White","Male",0.714285714285714,"0000-0003-1449-9319",89,6527,46,66,281.807462617952,"[1975.0, 2020.0]",46,1.5942843185149,46,1.43570604078492,37314,262.965756230383,84,178,2020,1975,2.59090909090909,565,9981,97.9252076871263,4942,98.9727906996083,4726,99.0176960242156,16599,96.5493584359642,245,99.9492736147955,378546,21.3023791506241,103290,78.5267311418426
"5",5111458740,5111458740,"Zhongxian Zhao","","['Zhong‐Xian Zhao', 'Zhongxian Zhao', 'Zhao Zhong‐Xian']","Zhong‐Xian Zhao","Zhao","Zhong‐Xian","Asian","Unknown",NA,"",14,179,10,7,30.3295383467268,"[1990.0, 2017.0]",28,0.456632653061225,22,0.397058823529412,297,6.69841227800956,0,0,2015,1994,0,34,241055,49.8860735283112,289324,39.851188743732,419232,12.8439623127905,402209,16.3829592608916,144988,69.857924542423,463441,3.65313131481128,215401,55.2194124055117
"6",5068161598,5068161598,"E. J. Melé","0000-0001-7140-5353","['E. J Mele', 'Eugene J. Mele', 'E. Mele', 'Eugene John Mele', 'E. J. Melé', 'E. J. Mele', 'Eugene Mele']","Eugene John Mele","Mele","Eugene","Asian","Male",NA,"0000-0001-7140-5353",136,9386,23,79,212.216172990023,"[1977.0, 2020.0]",44,1.56851604278075,44,2.25248281130634,35382,211.066084449793,57,162,2020,1977,3.91666666666667,357,24160,94.9774641796878,5350,98.8879695309057,14396,97.0073511679542,19410,95.9649655310055,529,99.8902314287377,335226,30.308391474641,66975,86.0764388414426
"7",5087073735,5087073735,"Michael Wittmann","0000-0002-1916-0915","['M. Wittmann', 'M. C. Wittmann', 'Michael Wittmann', 'Michael C. Wittmann']","Michael C. Wittmann","Wittmann","Michael","White","Male",NA,"0000-0002-1916-0915",17,128,10,5,22.136258233873,"[2006.0, 2020.0]",15,0.501960784313725,15,0.646803652968037,2833,18.9112429580684,30,74,2020,2006,4.77777777777778,292,33970,92.9380140204402,94662,80.3204493858781,62639,86.9778716539296,56800,88.1917706834757,73295,84.7625423066368,440620,8.39750359658387,50269,89.5495330677821
"8",5049662936,5049662936,"Steven J. Pollock","0000-0002-2462-8164","['Steven J. Pollock', 'Steven Pollock', 'Steven James Pollock', 'S. Pollock', 'S. J. Pollock', 'S.J Pollock']","Steven James Pollock","Pollock","Steven","Black or African American","Male",NA,"0000-0002-2462-8164",36,555,12,16,48.7555329800488,"[1989.0, 2020.0]",32,0.481770833333333,32,0.730670103092783,4536,40.8217067685818,33,71,2020,1989,1.85714285714286,194,61256,87.2653904684291,63400,86.8196635426975,52266,89.134366710186,59467,87.6373146615885,29229,93.9236443165659,433013,9.9789610238414,133648,72.2154540843056
"9",5067651970,5067651970,"Corinne A. Manogue","0000-0002-7095-8711","['Corinne Manogue', 'Corinne A. Manogue', 'C. A. Manogue']","Corinne A. Manogue","Manogue","Corinne","Asian","Female",NA,"0000-0002-7095-8711",13,58,5,2,12.0684305460481,"[1986.0, 2020.0]",35,0.127472527472527,35,0.429906542056075,1610,12.0684305460481,23,45,2020,1986,3,107,117314,75.6112113627103,140472,70.7967784587495,95004,80.2493492885832,92480,80.7740763224202,104516,78.271851845692,460694,4.22421893840487,86713,81.9730069104305
"10",5022476577,5022476577,"N. Sanjay Rebello","0009-0002-0194-5017","['Sanjay Rebello', 'N. Rebello', 'S. Rebello', 'N. Sanjay Rebello', 'N. S. Rebello']","N. Sanjay Rebello","Rebello","N.","Asian","Unknown",NA,"0009-0002-0194-5017",16,108,7,5,17.2217954898411,"[2010.0, 2019.0]",10,0.675,10,1.10246153846154,3583,17.374040296069,31,104,2019,2010,2.2,325,28423,94.0912077037579,78180,83.7469751274397,59083,87.7171463497792,37292,92.2473867595819,79143,83.5467722218988,400852,16.6650728048365,116723,75.7340773203163
