"","id_author_oa","longest_name","works_count","aps_years_of_activity","two_year_mean_citedness","h_index","aps_h_index","ethnicity","gender"
"1",5043632498,"Steven. Weinberg",599,"[1956.0, 2020.0]",1.05882352941176,122,71,"White","Unknown"
"2",5075284674,"Philip Warren Anderson",579,"[1949.0, 2011.0]",1.71428571428571,106,69,"White","Male"
"3",5016268794,"Matthew Paul Alejandro Fisher",328,"[1982.0, 2020.0]",16.9285714285714,92,57,"Asian","Male"
"4",5016282235,"Peter A. Zoller",846,"[1979.0, 2020.0]",8.4,146,57,"White","Male"
"5",5072166156,"Xiao‐Gang Wen",544,"[1988.0, 2020.0]",2.65,100,57,"Asian","Unknown"
"6",5091196459,"Frank A. Wilczek",671,"[1973.0, 2020.0]",1.54054054054054,115,57,"White","Male"
"7",5083228566,"Juan Ignacio Cirac",924,"[1989.0, 2020.0]",5.10810810810811,141,56,"Hispanic or Latino","Male"
"8",5040820196,"Wolfgang Ketterle",578,"[1985.0, 2020.0]",4.58333333333333,102,52,"White","Male"
"9",5088589128,"Harry J. Kimble",422,"[1975.0, 2018.0]",0,99,52,"Black or African American","Male"
"10",5068574814,"Thibault Marie Alban Guillaume Damour",471,"[1975.0, 2020.0]",68.7272727272727,110,50,"Black or African American","Male"
"11",5069567119,"David Alan Huse",461,"[1978.0, 2020.0]",12.8275862068966,106,50,"Asian","Male"
"12",5066245772,"Mikhail D. Lukin",968,"[1995.0, 2020.0]",14.5263157894737,150,47,"White","Male"
"13",5002100459,"David R. Nelson",540,"[1974.0, 2020.0]",1.5,109,46,"Unknown","Male"
"14",5046083937,"Steven M. Girvin",566,"[1975.0, 2020.0]",3.91176470588235,99,45,"White","Male"
"15",5088438810,"Julian Seymour Schwinger",510,"[1935.0, 1989.0]",0,88,44,"White","Male"
"16",5032365657,"Roman Wladimir Jackiw",438,"[1967.0, 2016.0]",0,93,44,"White","Male"
"17",5032954061,"Immanuel Felix Bloch",426,"[1997.0, 2020.0]",7.82456140350877,97,43,"Black or African American","Male"
"18",5041649350,"Subir Sachdev",856,"[1984.0, 2020.0]",13.3661971830986,117,42,"Asian","Male"
"19",5043780039,"Ashvin Vishwanath",568,"[1998.0, 2020.0]",10.214953271028,94,42,"Asian","Unknown"
"20",5089631322,"Michel H. Devoret",615,"[1978.0, 2020.0]",4.4468085106383,102,41,"White","Male"
"21",5073079318,"Paul Joseph Steinhardt",487,"[1973.0, 2018.0]",2.24,94,41,"White","Male"
"22",5001967033,"S.Y.Frank Chu",431,"[1975.0, 2018.0]",4.58333333333333,110,40,"Asian","Unknown"
"23",5046358965,"Steven Robert White",452,"[1981.0, 2020.0]",16.4444444444444,96,39,"Unknown","Male"
"24",5014587042,"Андрей Дмитриевич Линде",416,"[1976.0, 2020.0]",5.5,113,39,"White","Unknown"
"25",5085112919,"Steven Allan Kivelson",643,"[1979.0, 2020.0]",5.54761904761905,96,38,"White","Male"
"26",5080940389,"George Albert Sawatzky",485,"[1968.0, 2020.0]",3.48,92,38,"Asian","Male"
"27",5105986620,"Michael Ellis Fisher",507,"[1958.0, 2019.0]",0,110,38,"Black or African American","Male"
"28",5043106778,"John Matthew Martinis",628,"[1981.0, 2017.0]",21.6153846153846,107,37,"Asian","Male"
"29",5011352096,"Fu Liang",743,"[1993.0, 2020.0]",12,89,37,"Asian","Unisex"
"30",5014987686,"John P. Perdew",565,"[1973.0, 2020.0]",4.79365079365079,111,37,"White","Male"
"31",5001361375,"Antonio Helio Castro Neto",615,"[1990.0, 2020.0]",3.87878787878788,111,37,"Hispanic or Latino","Male"
"32",5000393220,"David Vanderbilt",622,"[1979.0, 2020.0]",2.84,114,37,"Black or African American","Male"
"33",5057695025,"Paul Bruce Corkum",741,"[1973.0, 2020.0]",2.54761904761905,105,37,"White","Male"
"34",5045119468,"Bertram J. Batlogg",528,"[1975.0, 2017.0]",0,100,37,"Asian","Male"
"35",5024948946,"Bogdan Andrei Bernevig",597,"[2001.0, 2020.0]",10.5961538461538,95,35,"White","Male"
"36",5032785303,"Nicolas Gisin",858,"[1983.0, 2020.0]",6.4,122,35,"Hispanic or Latino","Male"
"37",5001105113,"Anton Zeilinger",636,"[1976.0, 2020.0]",5.81818181818182,117,35,"White","Male"
"38",5104388013,"Qian Niu",518,"[1984.0, 2020.0]",3.22222222222222,88,35,"Asian","Unisex"
"39",5101843635,"David Jonathan Gross",500,"[1965.0, 2020.0]",1.95238095238095,95,35,"Asian","Male"
"40",5066175077,"Stephen William Hawking",470,"[1965.0, 2016.0]",0,106,35,"Asian","Male"
"41",5004398609,"Sascha Husa",429,"[1994.0, 2020.0]",22.0322580645161,119,34,"White","Male"
"42",5005759724,"Christopher Roy Monroe",521,"[1989.0, 2020.0]",9.68965517241379,89,34,"Black or African American","Male"
"43",5069152800,"Xijing Dai",487,"[1997.0, 2020.0]",8.97916666666667,93,34,"Asian","Unknown"
"44",5052560471,"Nai‐Phuan Ong",485,"[1976.0, 2020.0]",7.20833333333333,92,34,"Asian","Unknown"
"45",5067142016,"Mark E. J. Newman",344,"[1991.0, 2020.0]",5.72727272727273,100,34,"White","Male"
"46",5039238061,"Richard McKelvy Martin",555,"[1968.0, 2011.0]",0.25,91,34,"White","Male"
"47",5022064172,"Allan. H. MacDonald",1305,"[1975.0, 2020.0]",7.2,133,33,"Asian","Unknown"
"48",5100382923,"Jun Ye",801,"[1992.0, 2020.0]",6,98,33,"Asian","Male"
"49",5026152928,"Jerry D. Tersoff",334,"[1981.0, 2019.0]",1.2,94,33,"White","Male"
"50",5046546654,"Alessandro Vespignani",585,"[1993.0, 2015.0]",11.2878787878788,124,32,"White","Male"
"51",5034257635,"Nicolas Yunes",478,"[2006.0, 2020.0]",6.53333333333333,91,32,"Hispanic or Latino","Male"
"52",5029111186,"Witold Nazarewicz",772,"[1980.0, 2020.0]",6.35294117647059,96,32,"White","Male"
"53",5019751186,"Georg Kresse",489,"[1993.0, 2020.0]",5.25925925925926,122,32,"White","Male"
"54",5059690645,"Eugene A. Demler",956,"[1995.0, 2020.0]",4.22222222222222,97,32,"White","Male"
"55",5087071619,"Uros̆ Seljak",312,"[1997.0, 2020.0]",43.8787878787879,97,31,"White","Unknown"
"56",5079404842,"Bala R. Iyer",461,"[1978.0, 2019.0]",21.46,109,31,"Asian","Female"
"57",5036408112,"Eric Dean Siggia",251,"[1970.0, 2005.0]",12.8571428571429,90,31,"Asian","Male"
"58",5058357018,"André K. Geim",520,"[1991.0, 2019.0]",9.13953488372093,130,31,"White","Male"
"59",5050997098,"Vitor Manuel dos Santos Cardoso",449,"[2001.0, 2020.0]",6.68115942028986,90,31,"Hispanic or Latino","Unknown"
"60",5040644463,"Mark B. Wise",417,"[1979.0, 2020.0]",1.14285714285714,91,31,"Black or African American","Male"
"61",5018239237,"Stephen Edward Harris",670,"[1932.0, 2016.0]",1.05882352941176,95,31,"Asian","Male"
"62",5055238911,"Jens Kehlet Norskov",891,"[1979.0, 2015.0]",12.75,211,30,"White","Male"
"63",5038976962,"Albert ‐ László Barabási",663,"[1990.0, 2016.0]",5.14492753623188,152,30,"White","Male"
"64",5068294840,"Martin Bodo Plenio",686,"[1992.0, 2020.0]",4.14814814814815,102,30,"Asian","Male"
"65",5071256887,"Yoshihisa Yamamoto Yoshihisa Yamamoto",1567,"[1984.0, 2020.0]",1.5,119,30,"Asian","Male"
"66",5037710835,"Richard Phillips Feynman",459,"[1939.0, 1986.0]",0,88,30,"White","Male"
"67",5011447076,"Marclm Kamionkowski",548,"[1990.0, 2020.0]",12.5689655172414,92,29,"White","Unknown"
"68",5108365617,"Satomi Uchida",521,"[1985.0, 2016.0]",7.16666666666667,98,29,"Asian","Female"
"69",5023415293,"Philip S. Kim",899,"[1996.0, 2020.0]",6.42857142857143,126,29,"Asian","Male"
"70",5045377460,"Steven Gwon Sheng Louie",1230,"[1974.0, 2020.0]",6.17808219178082,154,29,"Asian","Male"
"71",5010879789,"Guilherme Loss de Morais",836,"[1990.0, 2020.0]",4.81176470588235,100,29,"Hispanic or Latino","Male"
"72",5056236658,"Stanley J. Brodsky",1106,"[1966.0, 2020.0]",1.2258064516129,100,29,"White","Male"
"73",5059413456,"Gen Shirane",825,"[1950.0, 2007.0]",0,130,29,"Asian","Unisex"
"74",5011635269,"Juan Garcı́a‐Bellido",937,"[1994.0, 2020.0]",9.07978723404255,94,28,"Hispanic or Latino","Male"
"75",5035107940,"Andrew Eben Strominger",358,"[1980.0, 2020.0]",8.80769230769231,103,28,"Unknown","Male"
"76",5008938191,"Ataç İmamoǧlu",374,"[1989.0, 2020.0]",5.4,88,28,"White","Unknown"
"77",5029751621,"Naoto Nagaosa",914,"[1989.0, 2020.0]",5.32394366197183,116,28,"Asian","Male"
"78",5010797318,"John Lowther Clarke",749,"[1968.0, 2014.0]",4.375,91,28,"Black or African American","Male"
"79",5068578690,"M.‐L. Herrera Cohen",1142,"[1962.0, 2020.0]",3.5,150,28,"Hispanic or Latino","Unknown"
"80",5086349625,"Bangalore Suryanarayana Sathyaprakash",581,"[1986.0, 2020.0]",14.1882352941176,121,27,"Asian","Unknown"
"81",5019830612,"Jean‐ Marie Tarascon",782,"[1983.0, 2012.0]",9.95161290322581,112,27,"Hispanic or Latino","Unknown"
"82",5081210285,"Tony. F. Heinz",738,"[1981.0, 2020.0]",6.80392156862745,119,27,"Unknown","Unknown"
"83",5023487560,"Michele Parrinello",902,"[1971.0, 2020.0]",5.13114754098361,148,27,"White","Female"
"84",5051113581,"Maciej A. Lewenstein",1176,"[1982.0, 2020.0]",3.59310344827586,112,27,"White","Male"
"85",5039879536,"Phaedon. Avouris",658,"[1981.0, 2020.0]",12.6666666666667,140,26,"White","Unknown"
"86",5055262951,"Albert R. Fert",537,"[1968.0, 2020.0]",11.6,102,26,"White","Male"
"87",5023765609,"David Joseph Singh",1021,"[1981.0, 2020.0]",9.15625,100,26,"Asian","Male"
"88",5073467817,"Francisco Guinea",680,"[1981.0, 2020.0]",6.65789473684211,111,26,"Hispanic or Latino","Male"
"89",5032638535,"Wayne Hsing‐Ching Hu",308,"[1993.0, 2020.0]",6.61111111111111,91,26,"Asian","Male"
"90",5091900050,"David Nathaniel Spergel",852,"[1986.0, 2020.0]",6.17647058823529,114,26,"Asian","Male"
"91",5064334015,"Lance Jenkins Dixon",360,"[1993.0, 2020.0]",4.61111111111111,88,26,"Black or African American","Male"
"92",5015967274,"D. N. Christodoulides D. N. Christodoulides",933,"[1989.0, 2020.0]",4.09210526315789,113,26,"White","Unknown"
"93",5038060570,"S. G. Lloyd",595,"[1988.0, 2020.0]",3.54761904761905,95,26,"Black or African American","Unknown"
"94",5016161528,"Zvi Bern",313,"[1986.0, 2020.0]",18,90,25,"White","Male"
"95",5072248970,"Константин Александрович Новоселов",831,"[2002.0, 2019.0]",9.57657657657658,151,25,"White","Unknown"
"96",5089500886,"Matias Zaldarriaga",380,"[1995.0, 2020.0]",9.53846153846154,96,25,"Hispanic or Latino","Male"
"97",5052453881,"Kenneth Manao Yamada",1137,"[1978.0, 2017.0]",9.29411764705882,150,25,"Asian","Male"
"98",5018124544,"Zhuoyang Shen",1213,"[1988.0, 2020.0]",7.96923076923077,114,25,"Asian","Unknown"
"99",5002203805,"Chris. G. Van de Walle",761,"[1986.0, 2020.0]",5.78048780487805,117,25,"White","Unknown"
"100",5008100767,"Taka‐Hisa Arima",709,"[1990.0, 2020.0]",2.85416666666667,90,25,"Asian","Unknown"
"101",5058886467,"Peter Hänggi or Peter Haenggi",788,"[1979.0, 2020.0]",2.16666666666667,101,25,"Black or African American","Male"
"102",5073608364,"Md‐Zahid Hasan",418,"[2001.0, 2020.0]",20.9347826086957,89,24,"Asian","Unknown"
"103",5028440699,"Troyer Matthias",635,"[1990.0, 2020.0]",11.1,92,24,"Black or African American","Unknown"
"104",5007841515,"R. V. C. CAR",595,"[1979.0, 2020.0]",7.51282051282051,108,24,"Asian","Unknown"
"105",5026447224,"Shin‐Ichi Nojiri",546,"[1987.0, 2020.0]",6.4375,88,24,"Asian","Unknown"
"106",5007738016,"Jose Wagner Furtado Valle",749,"[1980.0, 2020.0]",6.18518518518519,90,24,"Hispanic or Latino","Male"
"107",5048800312,"Franco Mauro Nori",1436,"[1986.0, 2020.0]",4.60096153846154,123,24,"Hispanic or Latino","Male"
"108",5032512426,"Edward H. Witten",720,"[1977.0, 2020.0]",4.32,177,24,"White","Male"
"109",5023546695,"Philip Howard Bucksbaum",622,"[1977.0, 2020.0]",2.81818181818182,88,24,"Asian","Male"
"110",5055754668,"Michael S.. Feld",719,"[1968.0, 2013.0]",0.9,103,24,"White","Male"
"111",5087631107,"Alan J. Heeger",1111,"[1961.0, 2015.0]",0,178,24,"White","Male"
"112",5074838331,"E. Paul S. Shellard",273,"[1987.0, 2017.0]",69.2,96,23,"White","Unknown"
"113",5038614330,"D. A. Peebles Brown",982,"[1970.0, 2020.0]",16.2777777777778,123,23,"Black or African American","Unknown"
"114",5013266043,"Hans‐Thomas Janka",501,"[1995.0, 2020.0]",8.27027027027027,94,23,"Asian","Unknown"
"115",5015051704,"Roberto Morandotti",1215,"[1998.0, 2020.0]",8.06586826347305,98,23,"Hispanic or Latino","Male"
"116",5070134354,"Sergei. D. Odintsov",966,"[1993.0, 2020.0]",7.66666666666667,107,23,"White","Unknown"
"117",5053008716,"John D. Joannopoulos John D. Joannopoulos",901,"[1972.0, 2020.0]",6.69047619047619,132,23,"White","Male"
"118",5046731462,"Zhong‐xiang Shen",910,"[1988.0, 2019.0]",5.59615384615385,117,23,"Asian","Unknown"
"119",5100659526,"Konstantin T. Matchev",1685,"[1997.0, 2019.0]",5.31155778894472,99,23,"White","Male"
"120",5087918205,"Michael Kent Wilkinson",1010,"[1953.0, 2000.0]",5.06532663316583,92,23,"White","Male"
"121",5005268544,"Gabriel B. Kotliar",698,"[1983.0, 2020.0]",3.60526315789474,91,23,"Hispanic or Latino","Male"
"122",5086042724,"Takagi Hidenori",824,"[1985.0, 2020.0]",3.22448979591837,98,23,"Asian","Unknown"
"123",5060706438,"Daniele Montanino",424,"[1994.0, 2017.0]",2.41666666666667,89,23,"Unknown","Female"
"124",5084775651,"Sadamichi Maekawa Sadamichi Maekawa",979,"[1970.0, 2020.0]",2,89,23,"Asian","Unknown"
"125",5072851506,"Elliott H. Lieb",736,"[1958.0, 2019.0]",1.58333333333333,103,23,"White","Male"
"126",5004657356,"Paul Z. Meakin",583,"[1983.0, 2014.0]",0,91,23,"White","Male"
"127",5073463880,"Manuel Gabriel Serrano Cardona",1349,"[1961.0, 2012.0]",0,127,23,"Hispanic or Latino","Male"
"128",5019081841,"Georg Gottfried Raffelt",460,"[1985.0, 2020.0]",97.6666666666667,88,22,"White","Male"
"129",5065077728,"Martin J. White",528,"[1989.0, 2009.0]",52.9189189189189,126,22,"Black or African American","Male"
"130",5011180999,"Gary W. Gibbons Paul",634,"[1971.0, 2020.0]",11.6666666666667,102,22,"Black or African American","Male"
"131",5052879411,"S.B. Zhang and Su‐Huai Wei",995,"[1985.0, 2020.0]",8.78378378378378,119,22,"Asian","Unknown"
"132",5081601906,"Mordechai M. Segev",924,"[1992.0, 2020.0]",8.47826086956522,101,22,"White","Male"
"133",5072105192,"Mauri Francesco",622,"[1993.0, 2020.0]",6.8,96,22,"Hispanic or Latino","Male"
"134",5001538936,"Tsvi Piran",655,"[1977.0, 2016.0]",6.66666666666667,95,22,"Asian","Male"
"135",5024058183,"David Brian Mitzi",380,"[1987.0, 2019.0]",6.55357142857143,94,22,"Asian","Male"
"136",5061886400,"Andrea Carlo Ferrari",552,"[2000.0, 2020.0]",6.33333333333333,113,22,"White","Female"
"137",5081983682,"Hideo Ohno Hideo Ohno",1300,"[1989.0, 2020.0]",5.39130434782609,98,22,"Asian","Male"
