"V1" "V2"
"1" 5046315734 5110251122
"2" 5109869596 5032512426
"3" 5046315734 5063134036
"4" 5037710835 5108016089
"5" 5032512426 5101155302
"6" 5001536933 5019946426
"7" 5046315734 5108229361
"8" 5001536933 5002610764
"9" 5046315734 5071188816
"10" 5091196459 5067272858
"11" 5091196459 5110199680
"12" 5046315734 5014654640
"13" 5046315734 5011363757
"14" 5091196459 5033399012
"15" 5046315734 5107833699
"16" 5046315734 5107830877
"17" 5001536933 5103356529
"18" 5046315734 5107826133
"19" 5041288684 5091196459
"20" 5046315734 5109933303
"21" 5046315734 5110206370
"22" 5046315734 5113903900
"23" 5046315734 5084067810
"24" 5046315734 5108092606
"25" 5001536933 5027081482
"26" 5001536933 5067293985
"27" 5043632498 5038250085
"28" 5091196459 5104387638
"29" 5046315734 5104112499
"30" 5061242206 5106408097
"31" 5066175077 5078137179
"32" 5111557554 5040464441
"33" 5037710835 5111981991
"34" 5066175077 5087459211
"35" 5046315734 5109173351
"36" 5103436661 5014047994
"37" 5001536933 5003478619
"38" 5001536933 5059418478
"39" 5091196459 5103341826
"40" 5046315734 5107862166
"41" 5001536933 5028089036
"42" 5061242206 5028205592
"43" 5001536933 5064543500
"44" 5046315734 5110894904
"45" 5063730019 5091196459
"46" 5091196459 5042449260
"47" 5043632498 5056215657
"48" 5091196459 5003818762
"49" 5046315734 5019968717
"50" 5046315734 5064930714
"51" 5046315734 5087147171
"52" 5001536933 5041610548
"53" 5091196459 5001032900
"54" 5106408097 5061242206
"55" 5001536933 5113803778
"56" 5032512426 5040644463
"57" 5046315734 5041496695
"58" 5001536933 5100655396
"59" 5087459211 5066175077
"60" 5037710835 5032489073
"61" 5001536933 5083419298
"62" 5046315734 5012309947
"63" 5091196459 5051087130
"64" 5001536933 5077289086
"65" 5061242206 5086613602
"66" 5001536933 5034897405
"67" 5046315734 5111010933
"68" 5046315734 5106633734
"69" 5001536933 5015551025
"70" 5046315734 5024919537
"71" 5091196459 5021774307
"72" 5001536933 5000503241
"73" 5066175077 5017869993
"74" 5058813615 5043632498
"75" 5046315734 5049312362
"76" 5001536933 5059977814
"77" 5046315734 5107007565
"78" 5001536933 5053936750
"79" 5046315734 5032305159
"80" 5046315734 5107860786
"81" 5043632498 5036225835
"82" 5061242206 5011447076
"83" 5065234398 5091196459
"84" 5046315734 5068565105
"85" 5001536933 5040977712
"86" 5046315734 5105209811
"87" 5061242206 5071482380
"88" 5001536933 5074684870
"89" 5046315734 5040533490
"90" 5001536933 5036833971
"91" 5046315734 5003649130
"92" 5001536933 5112391497
"93" 5037710835 5109160417
"94" 5001536933 5087628620
"95" 5091196459 5102777753
"96" 5046315734 5078988909
"97" 5061242206 5033970415
"98" 5091196459 5004453384
"99" 5032512426 5064082086
"100" 5046315734 5017942541
"101" 5091196459 5007738016
"102" 5034295195 5037710835
"103" 5046315734 5073425835
"104" 5001536933 5083889208
"105" 5056150629 5071105677
"106" 5071105677 5087641112
"107" 5001536933 5038915880
"108" 5046315734 5064277878
"109" 5091196459 5056346210
"110" 5043632498 5108090199
"111" 5046315734 5021500633
"112" 5001536933 5027138383
"113" 5046315734 5048455053
"114" 5091196459 5049927722
